Version:	0.100000
Fitness:	0.000000	0.102538
Sample:	1
PopSize:	1000
NoQTL:	1
Ploidy:	2
OptimizeVariance:	0.000527
Drift:	False
EnvVar:	0.012599
MutationScalar:	0.002100
MutationVar:	0.000026
Generations:	6500
ChangeFitnessSD:	5000	0.099119
MoveFitnessSD:	5000	1.815636
MoveType:	Phenotype
Seed:	821759058
PheotypeVar:	0.013126
Heritabitlity:	0.040184
StandardisePhenotype:	False
InitFitnessSD:	-1.000000
Generation	Phenotype Mean	Phenotype Ratio	Genotype Var	P Survived	Surviving Slope	Surviving Standardised Slope	w	
193	-0.008678	-0.075620	0.001353	655	4.579783	0.348449	0.263031	
194	-0.000857	-0.007261	0.001358	671	4.598875	0.356002	0.264025	
195	-0.000161	-0.001422	0.001291	684	4.522702	0.355052	0.250913	
196	0.003043	0.025599	0.001220	651	4.543679	0.357367	0.237086	
197	0.002335	0.019634	0.001228	650	4.549615	0.346779	0.238709	
198	0.003622	0.030520	0.001247	638	4.561876	0.344740	0.242485	
199	0.000464	0.004002	0.001253	667	4.568809	0.349373	0.243514	
200	0.000317	0.002688	0.001238	627	4.562520	0.349876	0.240719	
201	0.004903	0.041333	0.001278	673	4.564246	0.371520	0.248391	
202	-0.008264	-0.069169	0.001225	655	4.571105	0.347755	0.238210	
203	-0.012651	-0.107514	0.001294	657	4.548421	0.354801	0.251626	
204	-0.004809	-0.039645	0.001332	649	4.600834	0.358562	0.258955	
205	-0.004744	-0.041740	0.001254	675	4.536309	0.345664	0.243775	
206	-0.007167	-0.063776	0.001276	670	4.570889	0.336327	0.248095	
207	-0.001215	-0.009993	0.001247	661	4.597670	0.362639	0.242329	
208	-0.012345	-0.104932	0.001368	681	4.616131	0.356565	0.265895	
209	-0.008567	-0.069974	0.001311	650	4.595840	0.371681	0.254850	
210	-0.012152	-0.098195	0.001260	618	4.522570	0.342005	0.244968	
211	-0.013682	-0.118006	0.001429	647	4.581664	0.365851	0.277859	
212	0.000445	0.003822	0.001327	675	4.502675	0.344202	0.258054	
213	0.000472	0.004038	0.001335	649	4.544809	0.346530	0.259498	
214	0.000325	0.002785	0.001402	642	4.503968	0.335044	0.272469	
215	0.000805	0.007167	0.001377	675	4.649235	0.361712	0.267646	
216	-0.001166	-0.009247	0.001388	607	4.581158	0.363201	0.269846	
217	-0.000674	-0.005807	0.001349	690	4.534298	0.345420	0.262254	
218	-0.001488	-0.012486	0.001235	649	4.543917	0.364385	0.240173	
219	-0.004602	-0.039393	0.001357	671	4.526783	0.343172	0.263735	
220	0.003210	0.026919	0.001208	648	4.528810	0.352515	0.234806	
221	0.000634	0.005440	0.001328	668	4.580462	0.357248	0.258141	
222	-0.001036	-0.008898	0.001255	668	4.621665	0.350942	0.243891	
223	-0.009304	-0.078988	0.001272	651	4.550456	0.350563	0.247320	
224	-0.004872	-0.040773	0.001304	658	4.509655	0.350203	0.253534	
225	-0.000676	-0.005933	0.001326	698	4.429085	0.347603	0.257770	
226	0.000040	0.000333	0.001292	665	4.649632	0.379186	0.251249	
227	-0.002332	-0.020358	0.001249	670	4.580059	0.355000	0.242834	
228	-0.003353	-0.028538	0.001326	656	4.582002	0.349396	0.257803	
229	-0.007742	-0.063962	0.001177	634	4.583724	0.348039	0.228836	
230	0.006402	0.055253	0.001225	643	4.497988	0.343136	0.238101	
231	-0.002489	-0.020859	0.001119	663	4.550395	0.361463	0.217551	
232	-0.003640	-0.031075	0.001140	660	4.528569	0.332464	0.221551	
